user_id,item_id
4631,0
4631,1
4631,2
4631,3
4631,4
4631,5
4631,6
4631,7
4631,8
4631,9
4631,10
4631,11
4631,12
4631,13
4631,14
6992,15
6992,16
6992,17
6992,18
6992,19
6992,20
6992,21
6992,22
6992,20
6456,23
6456,24
6456,25
6456,26
6456,27
6456,28
6456,29
6456,30
6456,31
6456,32
6456,33
6456,34
6456,35
6456,36
6456,37
6456,38
5558,39
5558,40
5558,41
5558,42
5558,37
5558,43
5558,44
5558,45
5558,46
5558,47
135,48
135,49
135,50
135,51
135,52
135,53
135,54
135,55
135,56
135,57
135,58
135,59
135,60
10208,61
10208,62
10208,63
10208,64
10208,65
10208,66
10208,67
10208,68
10208,69
10208,70
10208,71
10208,72
3120,73
3120,63
3120,74
3120,75
3120,76
3120,77
3120,78
3120,79
3120,80
11755,81
11755,82
11755,83
11755,84
11755,85
11755,86
11755,86
11755,87
11755,88
4845,89
4845,90
4845,91
4845,92
4845,93
4845,94
4845,95
1528,96
1528,97
1528,98
1528,99
1528,100
1528,101
1528,102
1528,103
5047,104
5047,7
5047,105
5047,106
5047,107
716,108
716,109
716,110
716,111
716,112
716,113
716,114
716,115
716,116
716,117
716,118
716,119
716,120
716,121
716,122
716,123
716,124
716,125
716,126
716,127
716,128
716,129
716,130
716,131
716,132
716,133
716,134
716,135
716,136
716,137
716,138
716,139
716,140
716,58
6096,141
6096,142
6096,143
6096,144
6096,145
6096,146
6096,147
6096,148
6096,149
6096,150
6096,151
6096,152
6096,153
6096,154
6096,155
6096,156
6096,157
6096,158
6096,159
6096,160
14348,161
14348,162
14348,36
14348,163
14348,28
14348,164
14348,165
14348,166
14348,167
14348,168
14348,169
14348,170
14348,171
14348,172
13631,173
13631,174
13631,175
13631,176
13631,177
13631,178
13631,179
13631,180
13631,181
13631,182
13631,183
13631,184
13631,185
13631,186
13631,187
13631,69
13631,188
13631,189
13631,190
13631,191
4279,192
4279,193
4279,194
4279,195
4279,196
4279,197
4279,198
4279,70
4279,21
694,199
694,200
694,201
694,202
694,203
694,204
694,205
694,28
694,206
694,207
694,208
694,209
694,46
694,210
694,211
9448,212
9448,213
9448,214
9448,215
9448,216
9448,217
9448,218
9448,219
9448,220
9448,221
9448,222
9526,223
9526,224
9526,225
9526,226
9526,227
9526,228
9526,229
9526,230
9526,230
9526,230
9526,231
9526,232
9526,233
9526,234
9526,235
9526,236
9526,237
9526,238
9526,239
5875,240
5875,241
5875,242
5875,243
5875,244
5875,245
5875,246
5875,247
5875,248
5875,249
5875,250
5875,251
5875,252
5875,253
5875,254
2735,255
2735,256
2735,257
2735,258
2735,259
2735,260
2735,261
2735,262
2735,263
2735,264
2735,265
4800,266
4800,267
4800,268
4800,269
4800,270
4800,270
4800,271
4800,272
4800,159
4800,273
4800,274
4800,275
4800,276
4800,277
4800,278
4800,279
4800,13
4800,163
4800,280
4800,281
4800,282
4800,283
4800,284
4800,285
4800,286
4800,287
4800,288
4800,289
4800,290
4800,291
4800,292
12080,293
12080,294
12080,295
12080,296
12080,297
12080,298
12080,299
12080,300
12080,301
12080,302
13749,154
13749,303
13749,304
13749,305
13749,303
13749,306
13856,307
13856,308
13856,309
13856,310
13856,311
13856,312
13856,313
13856,314
13856,315
13856,316
13856,317
13856,318
13856,319
13856,320
13856,321
13856,322
13856,323
13856,324
13856,325
13856,326
13856,327
13856,328
13856,329
13856,330
13856,331
13856,332
13856,333
8356,334
8356,335
8356,336
8356,334
8356,337
8356,338
8356,339
8356,340
8356,341
8356,342
8356,202
8356,343
8356,344
8356,345
8356,346
8356,347
8356,348
8356,349
8356,350
8356,351
8356,352
8356,353
8356,46
8356,354
8356,355
8356,356
8356,357
8356,358
8356,352
8356,357
8356,359
8356,358
11182,360
11182,361
11182,362
11182,363
11182,364
11182,365
11182,366
11182,367
